store,product_code,price_euros,cpu,cores,threads,cpu_benchmk,ram_type,ram_gb,storage_gb,storage_type,screen_in,screen_type,display_res,display_cat,weight_kgr,battery_wh,usb_a_b,usb_c,hdmi,wireless_comm,bluetooth,webcam,os,model,model_
public,1970212,649,Intel Core i5-1334U,8,12,13416,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.8,41,2,0,1,Wi-Fi 6,v5.3,1080p,win 11 home,Dell Inspiron 3530 15.6'' FHD Anti- Glare,Dell Inspiron 3530 15.6''
public,1976569,849,Intel Core Ultra 5-226V,8,8,18490,LPDDR5x,16,512,NVMe,14,IPS,2560x1600,QHD,1.27,63,2,2,1,Wi-Fi 6e,v5.3,1080p,win 11 pro,Asus ExpertBook P5 P5405CSA-NZ0369X 14'' 2.5K Anti-Glare,Asus ExpertBook P5 P5405CSA-NZ0369X 14''
public,1973699,1039,AMD Ryzen 7-7735HS,8,16,23114,DDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,2.1,57,2,1,1,Wi-Fi 6,v5,720p,win 11 home,Acer Nitro V 15 ANV15-41-R8WJ 15.6'' FHD IPS,Acer Nitro V 15 ANV15-41-R8WJ 15.6''
public,1986736,950,Intel Core i5-12450H,8,12,16236,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,2.29,70,2,1,1,Wi-Fi 6e,v5.3,720p,win 11 home,"HP Victus Gaming 15-fa1950nv 15.6"" FHD IPS","HP Victus Gaming 15-fa1950nv 15.6"""
public,1957432,1099,Intel Core i7-13620H,10,16,24141,DDR5,16,1024,NVMe,15.6,IPS,1920x1080,FHD,1.98,54,2,1,1,Wi-Fi 6e,v5.2,720p,win 11 home,MSI Cyborg 15 A13VE 15.6'' FHD IPS,MSI Cyborg 15 A13VE 15.6''
public,2030243,859,AMD Ryzen 5-7535HS,6,12,17931,DDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,2.3,48,3,1,1,Wi-Fi 6,v5.3,720p,win 11 home,"Asus TUF Gaming A15 15.6 "" FHD IPS","Asus TUF Gaming A15 15.6 """
public,1986685,599,AMD Ryzen 5-7430U,6,12,16553,DDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.75,40,3,1,1,Wi-Fi 6e,v5.3,720p,win 11 home,MSI Modern 15 B7M 15.6'' FHD IPS,MSI Modern 15 B7M 15.6''
public,2033825,569,AMD Ryzen 7-5825U,8,16,18103,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.7,42,3,1,1,Wi-Fi 6e,v5.3,720p,win 11 home,"Asus Vivobook 15 M1502YA-BQ577W 15.6"" FHD Anti-glare","Asus Vivobook 15 M1502YA-BQ577W 15.6"""
public,2035047,750,AMD Ryzen 5-8645HS,6,12,22476,DDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,2.29,53,2,1,1,Wi-Fi 6,v5.4,720p,win 11 home,"HP Victus 15-fb3700nv BZ0R0EA 15.6"" FHD IPS","HP Victus 15-fb3700nv BZ0R0EA 15.6"""
public,1957387,1399,Intel Core i7-150U,10,12,15196,DDR5,16,1024,NVMe,14,IPS,1920x1200,FHD+,1.6,55,2,2,1,Wi-Fi 6e,v5.3,1080p,win 11 pro,DELL Inspiron 2-in-1 7440 14'' FHD+ Touch,DELL Inspiron 2-in-1 7440 14''
public,1796798,930,Intel Core i5-13500H,12,16,21323,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,2.29,70,2,1,1,Wi-Fi 6e,v5.3,720p,win 11 home,"HP Victus Gaming 15-FA1005NV 15.6"" Full HD","HP Victus Gaming 15-FA1005NV 15.6"""
public,1967903,1249,AMD Ryzen 7-7435HS,8,16,23335,DDR5,16,1024,NVMe,15.6,IPS,1920x1080,FHD,2.2,90,2,2,1,Wi-Fi 6,v5.3,720p,win 11 home,Asus TUF A15 FA507NVR-LP059W 15.6'' FHD IPS,Asus TUF A15 FA507NVR-LP059W 15.6''
public,1967194,599,Intel Core i5-1235U,10,12,12906,DDR4,16,512,SSD,15.6,IPS,1920x1080,FHD,1.74,41,2,1,1,Wi-Fi 5,v5,720p,win 11 pro,HP 250 G9 15.6'' FHD IPS,HP 250 G9 15.6''
public,1994319,679,AMD Ryzen 7-7730U,8,16,18914,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.62,42,2,1,1,Wi-Fi 6,v5.2,1080p,win 11 home,"Lenovo IdeaPad Slim 3 15ABR8 15.6"" FHD IPS","Lenovo IdeaPad Slim 3 15ABR8 15.6"""
public,1986686,699,AMD Ryzen 7-7730U,8,16,18914,DDR5,16,1024,NVMe,15.6,IPS,1920x1080,FHD,1.75,39,3,1,1,Wi-Fi 6e,v5.3,720p,win 11 home,MSI Modern 15 B7M 15.6'' FHD IPS,MSI Modern 15 B7M 15.6''
public,2035045,650,AMD Ryzen 7-5825U,8,16,18103,DDR4,16,1024,NVMe,15.6,IPS,1920x1080,FHD,1.59,41,2,1,1,Wi-Fi 6,v5.4,720p,win 11 home,"HP 15-fc0071nv 15.6"" FHD IPS","HP 15-fc0071nv 15.6"""
public,1986738,899,AMD Ryzen 7-8840HS,8,16,24991,LPDDR5,16,512,NVMe,14,IPS,1920x1200,FHD+,1.39,59,2,2,1,Wi-Fi 7,v5.4,1920p,win 11 home,"HP Envy x360 2-in-1 Laptop 14-fa0002nv 14"" QHD IPS","HP Envy x360 2-in-1 Laptop 14-fa0002nv 14"""
public,1994320,929,AMD Ryzen 7-8845HS,8,16,28469,DDR5,16,1024,NVMe,14,OLED,1920x1200,FHD+,1.48,47,2,2,1,Wi-Fi 6e,v5.2,1080p,win 11 home,"Lenovo IdeaPad Slim 5 14AHP9 14"" WUXGA OLED","Lenovo IdeaPad Slim 5 14AHP9 14"""
public,1924914,1199,Intel Core Ultra 7-155H,16,22,24835,LPDDR5,16,512,NVMe,14,OLED,2880x1800,FHD+,1.75,71,2,1,1,Wi-Fi 7,v5.4,1080p,win 11 home,"HP Omen 14-FB0011NV 14"" 2.8K OLED","HP Omen 14-FB0011NV 14"""
public,2032852,1329,Qualcomm Snapdragon X Plus,8,8,21605,LPDDR5,16,512,SSD,13,Pixelsense,1920x1280,FHD+,1.22,23,2,2,0,Wi-Fi 7,v5.4,1080p,win 11 home,"Microsoft Surface Laptop Copilot+ PC 13"" PixelSense","Microsoft Surface Laptop 13"""
